Gene Name,Alternative Name,Map Position,Start(BP),ORF ID
ribF,b0025,ECK0026,JW0023,25
ileS,b0026,ECK0027,ilvS,27
lspA,b0027,ECK0028,JW0025,28
ispH,b0029,ECK0030,JW0027,30
dapB,b0031,ECK0032,JW0029,32
folA,b0048,ECK0049,JW0047,49
lptD,b0054,ECK0055,imp,55
ftsL,b0083,ECK0084,JW0081,84
ftsI,b0084,ECK0085,JW0082,85
murE,b0085,ECK0086,JW0083,86
murF,b0086,ECK0087,JW0084,87
mraY,b0087,ECK0088,JW0085,88
murD,b0088,ECK0089,JW0086,89
ftsW,b0089,ECK0090,JW0087,90
murG,b0090,ECK0091,JW0088,91
murC,b0091,ECK0092,JW0089,92
ftsQ,b0093,ECK0094,JW0091,94
ftsA,b0094,divA,ECK0095,95
ftsZ,b0095,ECK0096,JW0093,96
lpxC,b0096,asmB,ECK0097,97
secM,b0097,ECK0098,JW5007,98
secA,b0098,azi,ECK0099,99
coaE,b0103,ECK0103,JW0100,104
can,b0126,ECK0125,f220,127
folK,b0142,ECK0141,JW0138,143
hemL,b0154,ECK0153,gsa,155
erpA,b0156,ECK0155,JW0152,157
dapD,b0166,ECK0164,JW0161,166
map,b0168,ECK0166,JW0163,169
rpsB,b0169,ECK0168,JW0164,170
tsf,b0170,ECK0169,JW0165,171
pyrH,b0171,ECK0170,JW0166,172
frr,b0172,ECK0171,JW0167,173
dxr,b0173,ECK0172,ispC,174
ispU,b0174,ECK0173,JW0169,175
cdsA,b0175,ECK0174,geneA,176
rseP,b0176,ecfE,ECK0175,177
bamA,b0177,ecfK,ECK0176,178
lpxD,b0179,ECK0178,fir,180
fabZ,b0180,ECK0179,JW0175,181
lpxA,b0181,ECK0180,JW0176,182
lpxB,b0182,ECK0181,JW0177,183
dnaE,b0184,ECK0183,JW0179,185
accA,b0185,ECK0184,JW0180,186
tilS,b0188,ECK0187,JW0183,189
proS,b0194,drp,drpA,195
hemB,b0369,ECK0366,JW0361,367
secD,b0408,ECK0402,JW0398,406
secF,b0409,ECK0403,JW0399,407
ribD,b0414,ECK0408,JW0404,412
ribE,b0415,ECK0409,JW0405,413
nusB,b0416,ECK0410,groNB,414
thiL,b0417,ECK0411,JW0407,415
dxs,b0420,ECK0414,f620,418
ispA,b0421,ECK0415,JW0411,419
ffs,b0455,ECK0449,JWR0009,1
dnaX,b0470,dnaZ,ECK0464,466
adk,b0474,dnaW,ECK0468,470
hemH,b0475,ECK0469,JW0464,471
lpxH,b0524,ECK0517,JW0513,520
cysS,b0526,ECK0519,JW0515,522
folD,b0529,ads,ECK0522,525
argU,b0536,argW,dnaY,6
mrdB,b0634,ECK0627,JW0629,630
mrdA,b0635,ECK0628,JW0630,631
nadD,b0639,ECK0632,f213,635
holA,b0640,ECK0633,JW0635,636
lptE,b0641,ECK0634,JW0636,637
leuS,b0642,ECK0635,JW0637,638
lnt,b0657,cutE,ECK0649,653
leuW,b0672,ECK0660,feeB,12
glnS,b0680,ECK0668,JW0666,669
fldA,b0684,ECK0672,JW0671,673
infA,b0884,bypA1,ECK0875,866
ftsK,b0890,dinH,ECK0881,872
lolA,b0891,ECK0882,JW0874,873
serS,b0893,ECK0884,JW0876,875
rpsA,b0911,ECK0902,JW0894,893
msbA,b0914,ECK0905,JW0897,896
lpxK,b0915,ECK0906,JW0898,4319
kdsB,b0918,ECK0909,JW0901,900
mukF,b0922,ECK0913,JW0905,904
mukE,b0923,ECK0914,JW0906,905
mukB,b0924,ECK0915,JW0907,906
asnS,b0930,ECK0921,JW0913,912
fabA,b0954,ECK0945,JW0937,935
serT,b0971,divE,ECK0962,22
murJ,b1069,ECK1054,JW1056,1049
rne,b1084,ams,ECK1069,1064
yceQ,b1085,ECK1070,JW5154,1065
fabD,b1092,ECK1078,JW1078,1072
fabG,b1093,accC,ECK1079,1073
acpP,b1094,ECK1080,JW1080,1074
tmk,b1098,ECK1084,JW1084,1078
holB,b1099,ECK1085,JW1085,1079
lolC,b1116,ECK1102,JW5161,1096
lolD,b1117,ECK1103,JW5162,1097
lolE,b1118,ECK1104,JW1104,1098
mnmA,b1133,asuE,ECK1119,1113
pth,b1204,asuA?,ECK1192,1184
prs,b1207,dnaR,ECK1195,1187
ispE,b1208,ECK1196,ipk,1188
lolB,b1209,ECK1197,hemM,1189
hemA,b1210,ECK1198,gtrA,1190
prfA,b1211,ECK1199,JW1202,1191
prmC,b1212,ECK1200,hemK,1192
kdsA,b1215,ECK1203,JW1206,1195
topA,b1274,asuA?,ECK1268,1252
ribA,b1277,ECK1272,JW1269,1255
fabI,b1288,ECK1283,envM,1266
tyrS,b1637,ECK1633,JW1629,1615
ribC,b1662,ECK1658,JW1654,1640
pheT,b1713,ECK1711,JW1703,1689
pheS,b1714,ECK1712,JW5277,1690
rplT,b1716,ECK1714,JW1706,1692
infC,b1718,ECK1716,fit,1694
thrS,b1719,ECK1717,JW1709,1695
nadE,b1740,ECK1738,efg,1716
gapA,b1779,ECK1777,JW1768,1755
tsaB,b1807,ECK1805,f231,1783
aspS,b1866,ECK1867,JW1855,1842
argS,b1876,ECK1877,JW1865,1852
leuZ,b1909,ECK1908,JWR0033,28
cysT,b1910,ECK1909,JWR0034,29
pgsA,b1912,ECK1911,JW1897,1885
metG,b2114,ECK2107,JW2101,2082
folE,b2153,ECK2146,JW2140,2121
yejM,b2188,ECK2182,JW2176,2156
gyrA,b2231,ECK2223,hisW,2198
nrdA,b2234,dnaF,ECK2226,2201
nrdB,b2235,ECK2227,ftsB,2202
folC,b2315,dedC,ECK2309,2285
accD,b2316,dedB,ECK2310,2286
fabB,b2323,ECK2317,fabC,2293
gltX,b2400,ECK2394,JW2395,2365
ligA,b2411,dnaL,ECK2406,4321
zipA,b2412,ECK2407,f328,2373
dapE,b2472,dapB,ECK2467,2433
dapA,b2478,ECK2474,JW2463,2439
hda,b2496,ECK2492,f248,2457
der,b2511,ECK2507,engA,4322
hisS,b2514,ECK2510,JW2498,2475
ispG,b2515,ECK2511,gcpE,2476
suhB,b2533,ECK2530,JW2517,2494
acpS,b2563,dpj,ECK2561,2523
era,b2566,ECK2564,JW2550,2526
lepB,b2568,ECK2566,JW2552,2528
pssA,b2585,ECK2583,JW2569,2545
bamD,b2595,ecfD,ECK2593,4323
rplS,b2606,ECK2603,JW2587,2562
trmD,b2607,ECK2604,JW2588,2563
rpsP,b2609,ECK2606,JW2590,2565
ffh,b2610,ECK2607,JW5414,2566
grpE,b2614,ECK2610,JW2594,2570
nadK,b2615,ECK2611,JW2596,2571
serV,b2695,ECK2690,JWR0061,48
csrA,b2696,ECK2691,JW2666,2647
alaS,b2697,ala-act,act,2648
ispF,b2746,ECK2741,JW2716,2697
ispD,b2747,ECK2742,f236,2698
ftsB,b2748,ECK2743,f103,2699
eno,b2779,ECK2773,JW2750,2732
pyrG,b2780,ECK2774,JW2751,2733
lgt,b2828,ECK2824,JW2796,2778
prfB,b2891,ECK2886,JW5847,2840
fbaA,b2925,ald,ECK2921,4325
pgk,b2926,ECK2922,JW2893,2874
metK,b2942,ECK2937,JW2909,2890
yqgF,b2949,ECK2944,JW2916,2897
plsC,b3018,ECK3009,JW2986,2966
parC,b3019,ECK3010,JW2987,2967
parE,b3030,ECK3021,JW2998,2978
ribB,b3041,ECK3032,htrP,2989
cca,b3056,ECK3046,JW3028,3004
folB,b3058,ECK3048,f123,3006
tsaD,b3064,ECK3054,f337,3012
dnaG,b3066,dnaP,ECK3056,3014
rpoD,b3067,alt,ECK3057,3015
rnpB,b3123,ECK3111,JWR0070,6
infB,b3168,ECK3157,f890,3114
nusA,b3169,ECK3158,f495,3115
leuU,b3174,ECK3163,JWR0072,56
glmM,b3176,ECK3165,f445,3120
